bid,routine timestamp,routine score,name,day difference
19,2017-12-11,94,Nrgize Lifestyle Cafe,-1.0
19,2018-06-07,96,Nrgize Lifestyle Cafe,-1.0
24,2016-10-05,98,OMNI S.F. Hotel - 2nd Floor Pantry,-1.0
24,2017-11-01,98,OMNI S.F. Hotel - 2nd Floor Pantry,-1.0
24,2019-05-01,98,OMNI S.F. Hotel - 2nd Floor Pantry,15.0
31,2018-06-15,96,Norman's Ice Cream and Freezes,-1.0
31,2019-07-02,94,Norman's Ice Cream and Freezes,42.0
45,2017-03-07,88,CHARLIE'S DELI CAFE,-1.0
45,2017-09-14,85,CHARLIE'S DELI CAFE,-1.0
45,2018-05-29,88,CHARLIE'S DELI CAFE,325.0
45,2019-04-04,92,CHARLIE'S DELI CAFE,15.0
48,2018-02-16,94,ART'S CAFE,238.0
48,2018-10-11,87,ART'S CAFE,1.0
54,2017-02-15,87,RHODA GOLDMAN PLAZA,-1.0
54,2018-07-03,94,RHODA GOLDMAN PLAZA,-1.0
58,2017-09-18,70,Oasis Grill,65.0
58,2018-10-05,74,Oasis Grill,-1.0
58,2019-06-27,83,Oasis Grill,-1.0
61,2017-01-24,98,Chowders,-1.0
61,2017-11-28,94,Chowders,-1.0
61,2018-08-30,94,Chowders,-1.0
66,2017-07-03,96,STARBUCKS,-1.0
66,2018-04-20,98,STARBUCKS,-1.0
66,2018-12-26,98,STARBUCKS,-1.0
73,2017-11-29,88,Santino's Vino,-1.0
73,2019-01-02,78,Santino's Vino,-1.0
73,2019-07-11,92,Santino's Vino,-1.0
76,2016-10-05,98,OMNI S.F. Hotel - 3rd Floor Pantry,-1.0
76,2017-11-01,100,OMNI S.F. Hotel - 3rd Floor Pantry,-1.0
76,2019-05-01,98,OMNI S.F. Hotel - 3rd Floor Pantry,15.0
77,2016-10-05,96,OMNI S.F. Hotel - Employee Cafeteria,-1.0
77,2017-11-01,94,OMNI S.F. Hotel - Employee Cafeteria,-1.0
77,2019-05-01,94,OMNI S.F. Hotel - Employee Cafeteria,15.0
80,2017-12-04,96,Bon Appetit @ USF-LAW SCHOOL CAFE,-1.0
80,2018-10-19,100,Bon Appetit @ USF-LAW SCHOOL CAFE,-1.0
88,2017-01-11,92,J.B.'S PLACE,287.0
88,2017-10-16,82,J.B.'S PLACE,9.0
88,2018-06-19,84,J.B.'S PLACE,-1.0
95,2017-03-07,92,VEGA PIZZERIA,-1.0
95,2017-10-16,83,VEGA PIZZERIA,-1.0
95,2018-05-09,92,VEGA PIZZERIA,-1.0
95,2019-08-12,85,VEGA PIZZERIA,1.0
98,2017-10-03,94,XOX Truffles,-1.0
98,2019-04-12,98,XOX Truffles,-1.0
99,2017-12-07,82,J & M A-1 CAFE RESTAURANT LLC,-1.0
99,2018-08-08,84,J & M A-1 CAFE RESTAURANT LLC,-1.0
101,2017-06-27,90,Cable Car Corner,-1.0
101,2018-01-29,92,Cable Car Corner,-1.0
102,2016-11-03,85,Akiko's Sushi Bar,-1.0
102,2017-07-28,92,Akiko's Sushi Bar,228.0
102,2018-03-02,86,Akiko's Sushi Bar,11.0
102,2019-05-08,94,Akiko's Sushi Bar,-1.0
108,2017-01-06,-1,Rue Lepic,-1.0
108,2018-06-04,100,Rue Lepic,-1.0
108,2019-06-03,100,Rue Lepic,-1.0
116,2017-05-09,96,The Waterfront Restaurant,-1.0
116,2019-03-04,89,The Waterfront Restaurant,11.0
116,2019-09-12,74,The Waterfront Restaurant,-1.0
121,2017-04-18,90,Akikos Sushi,-1.0
121,2018-05-14,90,Akikos Sushi,18.0
121,2019-03-08,90,Akikos Sushi,-1.0
121,2019-10-02,88,Akikos Sushi,-1.0
125,2017-07-19,90,Centerfolds,-1.0
125,2019-05-29,100,Centerfolds,-1.0
134,2017-02-14,93,Mint,1.0
134,2018-05-24,85,Mint,-1.0
140,2017-10-11,77,Cafe Madeleine,7.0
140,2018-01-05,86,Cafe Madeleine,-1.0
140,2019-06-12,79,Cafe Madeleine,-1.0
141,2017-05-05,100,AFC SUSHI @ MOLLIE STONE'S 2,-1.0
141,2018-06-27,100,AFC SUSHI @ MOLLIE STONE'S 2,-1.0
141,2019-02-08,100,AFC SUSHI @ MOLLIE STONE'S 2,-1.0
146,2016-10-17,84,DEJA VU PIZZA & PASTA,-1.0
146,2018-03-15,81,DEJA VU PIZZA & PASTA,29.0
146,2018-12-27,90,DEJA VU PIZZA & PASTA,-1.0
151,2018-05-14,81,BUS STOP PIZZA #1,-1.0
155,2017-02-27,79,CAFE COLE,66.0
155,2018-08-21,90,CAFE COLE,-1.0
155,2019-06-17,86,CAFE COLE,-1.0
164,2016-11-10,87,Ladle & Leaf,-1.0
164,2017-09-08,83,Ladle & Leaf,-1.0
164,2018-08-31,96,Ladle & Leaf,-1.0
164,2019-08-13,96,Ladle & Leaf,-1.0
184,2018-02-13,90,RADIO HABANA,44.0
184,2018-12-19,96,RADIO HABANA,-1.0
187,2017-02-10,92,TAZA WRAPS & JUICE,-1.0
187,2017-11-28,96,TAZA WRAPS & JUICE,-1.0
187,2019-03-19,100,TAZA WRAPS & JUICE,-1.0
190,2016-12-06,100,COURTYARD BY MARRIOTT-STAFF KITCHEN,-1.0
190,2017-11-29,100,COURTYARD BY MARRIOTT-STAFF KITCHEN,-1.0
190,2019-03-14,100,COURTYARD BY MARRIOTT-STAFF KITCHEN,-1.0
192,2017-06-26,86,ARLEQUIN,28.0
194,2017-09-19,84,BAYSIDE COFFEE SHOP,21.0
194,2019-03-19,86,BAYSIDE COFFEE SHOP,-1.0
198,2017-01-30,94,SUBWAY,-1.0
198,2017-11-29,94,SUBWAY,-1.0
200,2017-01-04,88,JIM'S SMOKE SHOP,-1.0
208,2017-07-31,90,CONSTANS GROCERY,-1.0
208,2018-10-30,90,CONSTANS GROCERY,-1.0
217,2017-03-30,92,PROGRESSIVE GROUNDS,-1.0
217,2017-09-25,93,PROGRESSIVE GROUNDS,-1.0
217,2018-03-16,92,PROGRESSIVE GROUNDS,-1.0
217,2019-04-22,88,PROGRESSIVE GROUNDS,-1.0
226,2018-03-19,88,Grumpy's American Pub,333.0
226,2019-02-05,84,Grumpy's American Pub,10.0
226,2019-09-05,74,Grumpy's American Pub,-1.0
236,2016-10-17,96,Gelato Classico Italian Ice,-1.0
236,2018-06-15,93,Gelato Classico Italian Ice,14.0
236,2019-07-11,94,Gelato Classico Italian Ice,-1.0
239,2017-12-07,88,Just Wonton,-1.0
239,2018-12-04,88,Just Wonton,-1.0
240,2016-10-04,82,MIKI RESTAURANT,143.0
240,2018-07-12,77,MIKI RESTAURANT,-1.0
240,2019-04-24,85,MIKI RESTAURANT,-1.0
247,2016-11-14,86,Toy Boat Dessert Cafe,-1.0
247,2018-06-22,90,Toy Boat Dessert Cafe,-1.0
247,2019-08-14,88,Toy Boat Dessert Cafe,-1.0
251,2018-03-06,98,THE BEANERY INC.,-1.0
251,2019-06-19,98,THE BEANERY INC.,-1.0
253,2016-12-08,96,Ann's Donut Coffee Shop,-1.0
253,2017-11-14,92,Ann's Donut Coffee Shop,-1.0
253,2019-05-02,94,Ann's Donut Coffee Shop,-1.0
256,2016-10-19,96,Marche Club of S.F.,-1.0
256,2017-12-05,90,Marche Club of S.F.,6.0
268,2017-12-28,100,LOS HERMANOS,-1.0
268,2019-08-13,82,LOS HERMANOS,8.0
272,2018-06-06,79,ON THE BRIDGE,5.0
273,2017-10-02,75,HAI SUN RESTAURANT,-1.0
273,2018-03-22,83,HAI SUN RESTAURANT,-1.0
273,2018-08-29,84,HAI SUN RESTAURANT,-1.0
273,2019-05-15,83,HAI SUN RESTAURANT,-1.0
275,2016-10-31,96,Ben & Jerry's,-1.0
275,2018-01-16,98,Ben & Jerry's,-1.0
275,2019-02-08,94,Ben & Jerry's,-1.0
276,2017-05-12,100,CORSAGNA,-1.0
276,2017-11-03,100,CORSAGNA,-1.0
276,2018-05-07,100,CORSAGNA,-1.0
279,2017-01-04,90,Inga Donuts,-1.0
279,2017-10-10,92,Inga Donuts,-1.0
279,2018-06-06,94,Inga Donuts,-1.0
279,2019-04-22,98,Inga Donuts,-1.0
281,2018-03-08,98,PARMA RESTAURANT,-1.0
283,2017-02-09,81,HAI KY MI GIA,-1.0
283,2018-04-17,90,HAI KY MI GIA,-1.0
286,2016-11-02,82,PUNJAB KABAB HOUSE,16.0
286,2017-11-07,83,PUNJAB KABAB HOUSE,-1.0
286,2018-09-06,84,PUNJAB KABAB HOUSE,-1.0
286,2019-02-20,83,PUNJAB KABAB HOUSE,-1.0
290,2018-03-20,98,BISTRO AIX,-1.0
298,2016-10-13,88,Bamboo Restaurant,14.0
