Institution,Type,Overall Score (0-100),Peer Assessment Score (1-5),Graduation and retention rank,Predicted 6yr graduation rate,Actual 6yr graduation rate,Pell gradrate,Social Mobility Rank,Percent of classes under 20,Percent of classes of 50 or more students,Student Excellence rank,First year students in top 10% of high school class,Acceptance rate,Financial resources rank,Average alumni giving rate
Williams College (MA),private,100,4.7,1,95%,96%,96%,98.0,84%,1%,1,95%,15%,2.0,47%
Amherst College (MA),private,98,4.6,2,92%,95%,93%,38.0,80%,2%,5,85%,12%,5.0,42%
Swarthmore College (PA),private,94,4.6,2,92%,97%,98%,135.0,76%,1%,3,93%,9%,6.0,31%
Pomona College (CA),private,93,4.5,6,92%,94%,91%,80.0,78%,0.20%,3,90%,9%,8.0,23%
Wellesley College (MA),private,92,4.5,14,92%,94%,95%,98.0,71%,0.20%,8,85%,20%,8.0,40%
Bowdoin College (ME),private,91,4.5,2,93%,95%,96%,147.0,78%,1%,10,84%,9%,14.0,42%
United States Naval Academy (MD),public,91,4.3,10,91%,90%,,,80%,1%,27,55%,9%,3.0,16%
Claremont McKenna College (CA),private,90,4.3,14,92%,92%,91%,183.0,82%,0%,22,73%,13%,14.0,33%
Carleton College (MN),private,89,4.3,6,90%,93%,84%,180.0,66%,0%,16,70%,21%,33.0,41%
Middlebury College (VT),private,89,4.3,6,93%,94%,88%,147.0,64%,3%,10,80%,22%,7.0,33%
United States Military Academy (NY),public,88,4.3,32,88%,85%,,,96%,0%,44,43%,9%,12.0,38%
Washington and Lee University (VA),private,88,4.0,2,93%,93%,96%,193.0,78%,0%,9,80%,24%,30.0,38%
Davidson College (NC),private,87,4.3,14,90%,93%,94%,135.0,72%,0.20%,14,76%,20%,30.0,39%
Grinnell College (IA),private,87,4.3,32,89%,87%,88%,47.0,65%,0%,14,72%,19%,19.0,27%
Hamilton College (NY),private,87,4.0,10,91%,91%,90%,122.0,76%,0.40%,5,86%,18%,29.0,37%
Haverford College (PA),private,86,4.2,10,94%,93%,92%,127.0,77%,1%,2,94%,18%,26.0,32%
Barnard College (NY),private,84,4.1,10,90%,90%,89%,67.0,74%,8%,5,90%,14%,36.0,21%
Colby College (ME),private,84,4.1,23,91%,90%,98%,193.0,68%,2%,12,74%,10%,25.0,34%
Colgate University (NY),private,84,4.1,18,90%,91%,91%,190.0,67%,2%,31,65%,27%,30.0,32%
Smith College (MA),private,84,4.3,32,88%,87%,85%,127.0,68%,3%,16,72%,37%,19.0,26%
Wesleyan University (CT),private,84,4.1,18,85%,91%,89%,122.0,74%,3%,18,67%,21%,42.0,24%
United States Air Force Academy (CO),public,83,4.2,40,91%,87%,,,79%,0.30%,31,55%,13%,3.0,14%
University of Richmond (VA),private,83,4.0,25,88%,88%,91%,127.0,73%,0%,31,50%,31%,19.0,22%
Vassar College (NY),private,83,4.2,18,90%,88%,86%,32.0,68%,0.30%,12,73%,25%,17.0,22%
Bates College (ME),private,82,4.1,18,90%,92%,98%,183.0,65%,0.40%,31,60%,14%,48.0,34%
Colorado College,private,81,4.0,29,91%,88%,91%,183.0,75%,0%,19,73%,14%,19.0,18%
Macalester College (MN),private,80,4.0,18,87%,93%,96%,106.0,69%,0.40%,20,66%,39%,48.0,29%
Harvey Mudd College (CA),private,79,4.4,6,94%,93%,84%,183.0,63%,6%,48,,18%,24.0,17%
Soka University of America (CA),private,78,2.8,23,85%,87%,79%,61.0,96%,0%,51,60%,52%,1.0,17%
Berea College (KY),private,77,3.5,121,52%,67%,66%,6.0,83%,0.10%,109,25%,33%,17.0,14%
Bryn Mawr College (PA),private,77,4.1,42,90%,85%,88%,158.0,75%,3%,22,66%,38%,33.0,29%
Kenyon College (OH),private,77,3.9,25,90%,89%,87%,206.0,79%,0%,38,55%,37%,37.0,29%
Mount Holyoke College (MA),private,77,3.9,47,84%,84%,92%,122.0,76%,1%,35,49%,52%,37.0,30%
Scripps College (CA),private,77,3.9,29,93%,88%,92%,209.0,78%,0%,22,75%,35%,33.0,17%
College of the Holy Cross (MA),private,76,3.7,14,85%,93%,90%,135.0,52%,1%,38,61%,38%,56.0,41%
