Flu Season,Month,Numerator,Population,State,month_dt,HHS Region
2024-25,MAY,60607.0,207782.0,Delaware,2025-05-01,Region 3
2024-25,JUL,160.0,2258965.0,Pennsylvania,2024-07-01,Region 3
2022-23,NOV,42219.0,180044.0,North Dakota,2022-11-01,Region 8
2023-24,FEB,164963.0,1051196.0,Louisiana,2024-02-01,Region 6
2025-26,JUL,,,Wyoming,2025-07-01,Region 8
2022-23,MAR,45748.0,121028.0,District of Columbia,2023-03-01,Region 3
2024-25,NOV,,,Kansas,2024-11-01,Region 7
2023-24,SEP,51307.0,1233092.0,Wisconsin,2023-09-01,Region 5
2024-25,AUG,6749.0,2288918.0,North Carolina,2024-08-01,Region 4
2023-24,NOV,,,Nebraska,2023-11-01,Region 7
2025-26,SEP,,,Mississippi,2025-09-01,Region 4
2024-25,SEP,6025.0,112267.0,Vermont,2024-09-01,Region 1
2025-26,NOV,,,Montana,2025-11-01,Region 8
2025-26,AUG,536.0,125825.0,District of Columbia,2025-08-01,Region 3
2022-23,MAR,,,Virginia,2023-03-01,Region 3
2023-24,JUL,13.0,206081.0,Delaware,2023-07-01,Region 3
2022-23,MAY,612814.0,2548813.0,Ohio,2023-05-01,Region 5
2024-25,JUN,1233112.0,7420196.0,Texas,2025-06-01,Region 6
2022-23,JUL,124.0,678553.0,Nevada,2022-07-01,Region 9
2023-24,OCT,357253.0,2693879.0,Illinois,2023-10-01,Region 5
2024-25,FEB,151154.0,1104806.0,Alabama,2025-02-01,Region 4
2023-24,SEP,,,South Carolina,2023-09-01,Region 4
2022-23,OCT,592446.0,7277441.0,Texas,2022-10-01,Region 6
2023-24,SEP,166896.0,4262890.0,Florida,2023-09-01,Region 4
2025-26,DEC,,,Delaware,2025-12-01,Region 3
2023-24,MAY,272772.0,1347547.0,Missouri,2024-05-01,Region 7
2022-23,APR,416682.0,1288040.0,Minnesota,2023-04-01,Region 5
2024-25,JUL,17.0,124180.0,District of Columbia,2024-07-01,Region 3
2022-23,JUN,417476.0,1288040.0,Minnesota,2023-06-01,Region 5
2024-25,JUL,,,South Carolina,2024-07-01,Region 4
2022-23,MAR,,,South Carolina,2023-03-01,Region 4
2022-23,SEP,30019.0,1353425.0,Missouri,2022-09-01,Region 7
2022-23,MAR,31706.0,174128.0,Alaska,2023-03-01,Region 10
2025-26,SEP,15007.0,942585.0,Oklahoma,2025-09-01,Region 6
2023-24,APR,324193.0,1555042.0,Indiana,2024-04-01,Region 5
2024-25,AUG,838.0,1043891.0,Louisiana,2024-08-01,Region 6
2025-26,JUL,,,Utah,2025-07-01,Region 8
2022-23,NOV,460409.0,2548813.0,Ohio,2022-11-01,Region 5
2024-25,JUN,311557.0,1551917.0,Indiana,2025-06-01,Region 5
2023-24,APR,,,Kansas,2024-04-01,Region 7
2024-25,FEB,87943.0,443136.0,New Mexico,2025-02-01,Region 6
2022-23,FEB,92744.0,454922.0,Idaho,2023-02-01,Region 10
2023-24,MAY,325260.0,1555042.0,Indiana,2024-05-01,Region 5
2022-23,JAN,1140331.0,7277441.0,Texas,2023-01-01,Region 6
2025-26,JUL,,,Pennsylvania,2025-07-01,Region 3
2022-23,MAR,51341.0,180044.0,North Dakota,2023-03-01,Region 8
2024-25,AUG,214.0,457781.0,Idaho,2024-08-01,Region 10
2023-24,JUL,120.0,943279.0,Oklahoma,2023-07-01,Region 6
2025-26,NOV,,,Pennsylvania,2025-11-01,Region 3
2023-24,SEP,13944.0,458367.0,Idaho,2023-09-01,Region 10
2022-23,MAY,118523.0,457315.0,New Mexico,2023-05-01,Region 6
2023-24,APR,145514.0,689351.0,Arkansas,2024-04-01,Region 6
2025-26,AUG,,,Delaware,2025-08-01,Region 3
2022-23,APR,2355258.0,8529977.0,California,2023-04-01,Region 9
2022-23,APR,215205.0,719423.0,Iowa,2023-04-01,Region 7
2023-24,AUG,6748.0,2273142.0,North Carolina,2023-08-01,Region 4
2023-24,JAN,159691.0,1100833.0,Alabama,2024-01-01,Region 4
2022-23,MAY,417297.0,1288040.0,Minnesota,2023-05-01,Region 5
2023-24,APR,806567.0,4262890.0,Florida,2024-04-01,Region 4
2024-25,FEB,,,Hawaii,2025-02-01,Region 9
2022-23,FEB,,,Hawaii,2023-02-01,Region 9
2022-23,MAY,,,Kansas,2023-05-01,Region 7
2023-24,JUL,0.0,2482549.0,Georgia,2023-07-01,Region 4
2022-23,DEC,70343.0,251426.0,New Hampshire,2022-12-01,Region 1
2024-25,APR,158789.0,1043891.0,Louisiana,2025-04-01,Region 6
2024-25,APR,431699.0,2071633.0,Michigan,2025-04-01,Region 5
2024-25,AUG,64.0,112267.0,Vermont,2024-08-01,Region 1
2024-25,AUG,17811.0,4336342.0,Florida,2024-08-01,Region 4
2025-26,OCT,,,New Hampshire,2025-10-01,Region 1
2023-24,MAY,65529.0,248624.0,New Hampshire,2024-05-01,Region 1
2024-25,JAN,43910.0,180575.0,North Dakota,2025-01-01,Region 8
2023-24,OCT,91169.0,689351.0,Arkansas,2023-10-01,Region 6
2022-23,JUL,197.0,2746514.0,Illinois,2022-07-01,Region 5
2023-24,NOV,15257.0,128089.0,Wyoming,2023-11-01,Region 8
2024-25,NOV,95758.0,945149.0,Oklahoma,2024-11-01,Region 6
2023-24,JUL,0.0,113720.0,Vermont,2023-07-01,Region 1
2024-25,AUG,505.0,245999.0,New Hampshire,2024-08-01,Region 1
2025-26,NOV,,,Rhode Island,2025-11-01,Region 1
2023-24,OCT,288872.0,2273142.0,North Carolina,2023-10-01,Region 4
2022-23,JAN,744639.0,4177004.0,Florida,2023-01-01,Region 4
2024-25,APR,313306.0,710528.0,Connecticut,2025-04-01,Region 1
2025-26,OCT,,,Colorado,2025-10-01,Region 8
2025-26,JUL,12.0,457113.0,Idaho,2025-07-01,Region 10
2023-24,APR,,,Virginia,2024-04-01,Region 3
2024-25,JUL,89.0,2660560.0,Illinois,2024-07-01,Region 5
2025-26,SEP,,,Utah,2025-09-01,Region 8
2024-25,NOV,112118.0,1043891.0,Louisiana,2024-11-01,Region 6
2025-26,AUG,,,Texas,2025-08-01,Region 6
2023-24,OCT,46120.0,458367.0,Idaho,2023-10-01,Region 10
2024-25,APR,46534.0,180575.0,North Dakota,2025-04-01,Region 8
2022-23,APR,46229.0,121028.0,District of Columbia,2023-04-01,Region 3
2024-25,OCT,285280.0,2523221.0,Ohio,2024-10-01,Region 5
2025-26,NOV,,,New Jersey,2025-11-01,Region 2
2023-24,FEB,320391.0,711854.0,Connecticut,2024-02-01,Region 1
2022-23,AUG,5035.0,2260328.0,North Carolina,2022-08-01,Region 4
2023-24,JUL,10376.0,245261.0,Maine,2023-07-01,Region 1
2023-24,OCT,114948.0,921418.0,Utah,2023-10-01,Region 8
2022-23,DEC,61271.0,214219.0,South Dakota,2022-12-01,Region 8
2024-25,OCT,0.0,2486291.0,Georgia,2024-10-01,Region 4
2024-25,MAR,17817.0,126794.0,Wyoming,2025-03-01,Region 8
2022-23,SEP,,,Virginia,2022-09-01,Region 3
2023-24,OCT,,,Hawaii,2023-10-01,Region 9
2022-23,FEB,1197739.0,7277441.0,Texas,2023-02-01,Region 6
2022-23,MAY,256730.0,925848.0,Utah,2023-05-01,Region 8
2024-25,SEP,,,Massachusetts,2024-09-01,Region 1
2022-23,MAR,244798.0,841423.0,Oregon,2023-03-01,Region 10
2023-24,JUN,127478.0,245261.0,Maine,2024-06-01,Region 1
2024-25,MAY,555606.0,2288918.0,North Carolina,2025-05-01,Region 4
2022-23,JAN,21494.0,129448.0,Wyoming,2023-01-01,Region 8
2023-24,FEB,,,Nebraska,2024-02-01,Region 7
2025-26,AUG,,,Montana,2025-08-01,Region 8
2025-26,JUL,38.0,1039700.0,Louisiana,2025-07-01,Region 6
2025-26,AUG,221.0,684471.0,Arkansas,2025-08-01,Region 6
2022-23,DEC,174318.0,1099772.0,Alabama,2022-12-01,Region 4
2022-23,JAN,,,Rhode Island,2023-01-01,Region 1
2022-23,JUN,22605.0,129448.0,Wyoming,2023-06-01,Region 8
2024-25,JUN,678087.0,1982945.0,New Jersey,2025-06-01,Region 2
2022-23,OCT,191866.0,1245874.0,Wisconsin,2022-10-01,Region 5
2023-24,NOV,86807.0,245261.0,Maine,2023-11-01,Region 1
2024-25,FEB,1161352.0,7420196.0,Texas,2025-02-01,Region 6
2022-23,FEB,290824.0,1353425.0,Missouri,2023-02-01,Region 7
2024-25,AUG,,,Kansas,2024-08-01,Region 7
2022-23,MAY,362600.0,1557987.0,Indiana,2023-05-01,Region 5
2023-24,FEB,141637.0,943279.0,Oklahoma,2024-02-01,Region 6
2024-25,MAR,59802.0,207782.0,Delaware,2025-03-01,Region 3
2022-23,AUG,2476.0,996925.0,Kentucky,2022-08-01,Region 4
2023-24,SEP,5406.0,113720.0,Vermont,2023-09-01,Region 1
2023-24,MAR,85762.0,458367.0,Idaho,2024-03-01,Region 10
2022-23,AUG,6531.0,715631.0,Connecticut,2022-08-01,Region 1
2023-24,NOV,48050.0,206081.0,Delaware,2023-11-01,Region 3
2024-25,APR,310731.0,1551917.0,Indiana,2025-04-01,Region 5
2025-26,AUG,,,Alabama,2025-08-01,Region 4
2022-23,DEC,59603.0,204839.0,Delaware,2022-12-01,Region 3
2024-25,NOV,,,Massachusetts,2024-11-01,Region 1
2023-24,DEC,476555.0,2273142.0,North Carolina,2023-12-01,Region 4
2023-24,JAN,399877.0,2085002.0,Michigan,2024-01-01,Region 5
2024-25,FEB,660793.0,1982945.0,New Jersey,2025-02-01,Region 2
2024-25,JUL,,,Nebraska,2024-07-01,Region 7
2023-24,JAN,326970.0,1233092.0,Wisconsin,2024-01-01,Region 5
2024-25,APR,,,South Carolina,2025-04-01,Region 4
2025-26,NOV,,,Texas,2025-11-01,Region 6
2025-26,JUL,250.0,8216613.0,California,2025-07-01,Region 9
2022-23,MAR,94389.0,454922.0,Idaho,2023-03-01,Region 10
2023-24,NOV,122054.0,689351.0,Arkansas,2023-11-01,Region 6
2023-24,SEP,236492.0,7345068.0,Texas,2023-09-01,Region 6
2025-26,JUL,49.0,942585.0,Oklahoma,2025-07-01,Region 6
2023-24,OCT,,,South Carolina,2023-10-01,Region 4
2022-23,JAN,147553.0,939888.0,Oklahoma,2023-01-01,Region 6
2023-24,JUN,62297.0,215512.0,South Dakota,2024-06-01,Region 8
2023-24,MAY,567338.0,2273142.0,North Carolina,2024-05-01,Region 4
2022-23,MAY,493467.0,2105301.0,Michigan,2023-05-01,Region 5
2024-25,NOV,402654.0,2523221.0,Ohio,2024-11-01,Region 5
2024-25,OCT,115007.0,916031.0,Utah,2024-10-01,Region 8
2023-24,JUN,273275.0,1347547.0,Missouri,2024-06-01,Region 7
2025-26,OCT,,,Kansas,2025-10-01,Region 7
2022-23,NOV,34058.0,229877.0,Montana,2022-11-01,Region 8
2022-23,OCT,166760.0,1516946.0,Tennessee,2022-10-01,Region 4
2023-24,MAY,663274.0,2693879.0,Illinois,2024-05-01,Region 5
2022-23,AUG,53716.0,8529977.0,California,2022-08-01,Region 9
2022-23,MAY,734278.0,2746514.0,Illinois,2023-05-01,Region 5
2023-24,FEB,95447.0,449473.0,New Mexico,2024-02-01,Region 6
